,name,album,artist,release_date,duration,popularity,id,kmeans-2clusters
199,Tanz für mich,Wir bauten uns Amerika,Provinz,2020-07-17,209986,58,6tW9IfjsF6D1YdJkIE7AQl,1
200,Nostalgia,Nostalgia,Kacper HTA,2021-04-06,232329,35,6slxPaEM1yNZsZ7clD6tIW,1
201,Selbstlos,Mama,MoTrip,2015-06-19,237868,35,5sUXgmCMa0OboFW0xmxFzH,1
206,Suga Suga,2016 - 2018,Népal,2019-08-23,224893,61,1kY2dTf9Tpa8QRHlAJeRYd,1
208,Zombie,Fight Club,PRO8L3M,2021-03-30,211146,40,3kTbV66UqiZZ9xcTQuadjU,1
214,Grauer Beton,#DIY,Trettmann,2017-09-29,237455,52,2gaHAv8a7eDlsZra2g2J1l,1
215,Swimmingpoolaugen,Swimmingpoolaugen,Maeckes,2021-04-01,255346,0,7dUS9BQuTLt67grfmxxKDN,1
222,Żar,Żar,PRO8L3M,2021-01-13,198008,40,63WncsLP44sjnDRw1s8oQk,1
225,Gelernt,Das nullte Kapitel,Käptn Peng,2017-05-19,201030,51,1rEVYOEfQRHTCTU0UaeKwt,1
226,Romcom,Alle Liebe nachträglich,Mine,2017-10-13,271740,45,2FK03KdYSIJGy4iXpKzdkS,1
232,Sensitive Kind,5,J.J. Cale,1979-08,307906,49,0nfq0wKQfIwATbUDJZD0ln,1
233,O Mary Don't You Weep,We Shall Overcome: The Seeger Sessions (American Land Edition),Bruce Springsteen,2006,364973,39,5JN70TFrbjjHVJkKfSXlAn,1
242,Nie Zrozumiesz,ANTIHYPE 2,Sarius,2021-06-25,159813,34,5wJDZrAiKt9DXcUHVVwn2I,1
243,Frisch,Dachfenster,01099,2021-07-02,158105,28,2nXslLLUtj9I3wyiq1aJi6,1
246,GOMBAO 33,100 dni do matury,Mata,2020-01-17,340106,63,2sTuKKRZI1ciK5tflR00YE,1
247,Pejzaże,ANTIHYPE 2,Sarius,2021-06-25,191240,37,1hx2aNhY0DA7daiCvim1nb,1
253,Zostawić Coś Po Sobie,Syntetyczna Mafia,Paluch,2011-10-01,206869,38,7vo9Jo7RNswCh5o2wfBQ9Z,1
256,THE HEARTBREAK v2,THE HEARTBREAK v2,Rilès,2021-07-11,210651,45,5xXMHq0eZJSPf9EaZivCoM,1
257,Bandyta,Bandyta,Sobel,2021-03-29,156013,50,3OcyTN8Nz3bdne5aq9mMR5,1
258,Testarossa,Testarossa,Wiatr,2020-08-11,233000,58,4yP4P2pHqtejjQ1l12J8bA,1
259,Legenda,SIARA,KęKę,2021-04-23,184293,35,01LqoYTPYFNLvUQ11GHRW7,1
262,Barman,Pół życia za mną,Sliwa,2021-05-21,189613,17,76vYozfdujmPMNuFrPO84K,1
266,Chłopaki nie płaczą,Kwiat polskiej młodzieży,Bedoes,2018-11-30,211800,58,4glBRF3uJCf3bTG4hhIhpn,1
267,Don't Let Me Be Misunderstood,Broadway-Blues-Ballads,Nina Simone,1964-11-01,166200,58,7M9pPyt8Gr41THLhbz4NSB,1
270,Kompas,Czarno na białym,Gibbs,2021-09-30,247578,52,0Uz1YXmTAsOAdsiFW8D8gU,1
272,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Honky Chateau,Elton John,1972-05-19,281613,80,3gdewACMIVMEWVbyb8O9sY,1
275,Kurtz,Młody Matczak,Mata,2021-10-01,255720,59,4Ca4yzwIFgYJxupDhcXLka,1
276,Nasza klasa ale to DRILL,Młody Matczak,Mata,2021-10-01,223906,58,2IwpIyyFlNYhwLW5ZeHxNe,1
278,Anja,Flagey EP,Taco Hemingway,2018-07-20,189240,43,1EtYc0dLZL0ifEWLWWwAJE,1
279,Si jamais j'oublie - Sur la route Live 2015,Sur la route,Zaz,2015-10-30,208219,55,1KkPVmfNmNND1vm5PhUv5R,1
285,Beyond the Sun (feat. J Live),Strange Journey Volume Three,Cunninlynguists,2014-04-01,161193,30,2CpP9fn0s3EQN4ErGEF7UX,1
286,Ballada Ekologiczna,Którędy Wychodzi Się Na Ludzi,Feno,2020-01-10,232269,46,1U1zY3nvxq5JlIANQolMx9,1
287,Dans mon élément,XX5,Georgio,2018-11-23,255676,49,6O03GOrn4Sey7ktrT8jeMa,1
290,Nieśmiertelni,Nieśmiertelni,Sarius,2021-09-17,171356,47,7uQEiKqLg8P3i9cPC9c0pQ,1
294,Gotham,Mantra,Kacper HTA,2020-10-16,279200,51,4aAifBZiL5ieml3ZN1gIK5,1
296,Iluzja,Iluzja,Kacper HTA,2019-05-31,220000,59,0xTHot6ZzZbc8eiabOascN,1
298,Będziemy dziećmi,Zeus. Jest super.,Zeus,2015-10-09,247280,46,4VpZdc76RyUGjohn4SUIjd,1
301,Interpol,WIDMO,PRO8L3M,2019-03-01,197040,54,2VVEyPFbGkDePlMDHxjqhq,1
303,My Funny Valentine,Chet Baker Sings,Chet Baker,1956,141133,62,4l9hml2UCnxoNI3yCdL1BW,1
306,Opowieść o Tobie,C30-C39 EP,PRO8L3M,2016-04-22,277260,43,1Abp3RSKwmuppE2SFkH93Z,1
308,Nie Wiem Jak…,ANTIHYPE 2,Sarius,2021-06-25,280946,32,5G2kPOVJWA7lggyxoL1xcm,1
309,Niedopowiedzenia,Niedopowiedzenia,Czarny HIFI,2012-11-12,273667,0,2nrgOEtV9AZn6oDzbV3uMq,1
315,Bonne journée,Multitude,Stromae,2022-03-03,192040,60,0i0ESj6M9eV8ck3LP07QzD,1
