,name,album,artist,release_date,duration,popularity,id,kmeans-2clusters
207,Bevor ich geh,Mama,MoTrip,2015-06-19,209655,31,5nStQfmz4X56SGYQZ1JQSk,1
208,Zombie,Fight Club,PRO8L3M,2021-03-30,211146,42,3kTbV66UqiZZ9xcTQuadjU,1
210,Diego Maradona,Wir bauten uns Amerika,Provinz,2020-07-17,178267,31,0rc3zXYH31NzCaJMAzi7va,1
212,Diabeł,Wyszczekany,Dedis,2020-09-18,247269,48,2iAxV6os00MV8g4Dw3Capw,1
213,THANK GOD,WELCOME TO THE JUNGLE (Deluxe),Rilès,2019-08-30,210236,61,1o6JHLSAtNsIj8AgAvDxXX,1
219,Mały świat,Kodakrom,Shellerini,2021-04-30,229333,12,0z2gwdxY0dL1ahay7p46sq,1
220,Chevy Impala,Chevy Impala,O.S.T.R.,2018-11-06,239295,28,7d50SeRrUgRMCMKFIkvS0s,1
223,SZUBIENICAPESTYCYDYBROŃ,SZUBIENICAPESTYCYDYBROŃ,Quebonafide,2020-04-01,231360,36,3GFUIOx4qdGwFxKXgfy7ap,1
226,Romcom,Alle Liebe nachträglich,Mine,2017-10-13,271740,46,2FK03KdYSIJGy4iXpKzdkS,1
229,so schön,trip,CRO,2021-04-29,223800,49,1Zz0sHugKITBf0ItiuhmkK,1
230,Porno,Fenomenet,Kjartan Lauritzen,2017-09-29,271262,30,3MCCT0fGIUtvMYqiFPEGmD,1
231,Ich ficke euch (alle),Ich ficke euch (alle),K.I.Z,2021-04-29,237240,44,6ONKZO5NqZvQpCpNdVnMhC,1
232,Sensitive Kind,5,J.J. Cale,1979-08,307906,51,0nfq0wKQfIwATbUDJZD0ln,1
234,Szklana pogoda,81-91. Największe przeboje (The Best),Lombard,2004-01-29,200866,53,3dae8Xfbu7454VD935DFvW,1
237,Kontrola Jakości,Złota Owca,Paluch,2017-11-24,247776,49,3Sy8Q6qaFefag6e8MFN5aQ,1
238,Byle gdzie,Alma Mater,Shellerini,2019-10-11,226363,17,4b9Wkh0SbjGNYCTMrDxk6n,1
239,Monochrom,Instrukcja Obsługi Świrów,O.S.T.R.,2019-02-22,165468,34,4ypX43QEL7mwPW3q5bPurP,1
240,The Writing On The Wall,The Writing On The Wall,Iron Maiden,2021-07-15,373898,35,4a66HnjRw3kBeQnIGcc8v9,1
241,Obdrapany marmur (prod. Małach),Obdrapany marmur (prod. Małach),Małach,2021-04-28,176551,39,5Ux3bT0NOAk6eXkQBzfC10,1
242,Nie Zrozumiesz,ANTIHYPE 2,Sarius,2021-06-25,159813,35,5wJDZrAiKt9DXcUHVVwn2I,1
243,Frisch,Dachfenster,01099,2021-07-02,158105,29,2nXslLLUtj9I3wyiq1aJi6,1
244,Kiss cam (podryw roku),Kiss cam (podryw roku),Mata,2021-06-21,170508,63,5hfJcAXpOVb65HtYqgtoE4,1
249,Taksowkarz,Zmiany w sąsiedztwie,Sliwa,2018-12-21,183320,43,6GQMNWbdMT5L3BUs2u89K0,1
251,Mem (prod. Auer),Mem (prod. Auer),Pezet,2021-07-15,186346,38,1iA961GuoLlH2setq3alcw,1
252,Testy,ANTIHYPE 2,Sarius,2021-06-25,186000,45,6sGmX16cnyjVOkAlR8GYQJ,1
253,Zostawić Coś Po Sobie,Syntetyczna Mafia,Paluch,2011-10-01,206869,39,7vo9Jo7RNswCh5o2wfBQ9Z,1
257,Bandyta,Bandyta,Sobel,2021-03-29,156013,51,3OcyTN8Nz3bdne5aq9mMR5,1
258,Testarossa,Testarossa,Wiatr,2020-08-11,233000,59,4yP4P2pHqtejjQ1l12J8bA,1
260,Co ja wiem?,Uśmiech,Jan-Rapowanie,2020-02-25,177600,53,0XmQabmXUU4ubnZj8b2qX4,1
261,Wild World,"Big, Bigger, Biggest! The Best Of Mr. Big",Mr. Big,1996-11-25,208506,51,4LxrmBgBLQc2oU60r6cBPW,1
262,Barman,Pół życia za mną,Sliwa,2021-05-21,189613,18,76vYozfdujmPMNuFrPO84K,1
263,Jak Makłowicz,Mieszane Uczucia,Rau Performance,2021-04-23,231133,40,3eHm9d6hynbilWyv7EGIpb,1
264,Niech mnie ktoś uszczypnie,Niech mnie ktoś uszczypnie,Rau Performance,2020-04-13,206608,41,1BaSPeyeeHMNzmcNASv3v4,1
268,Beggin',Chosen,Måneskin,2017-12-08,211560,87,3Wrjm47oTz2sjIgck11l5e,1
269,Świeczki na rzece,Świeczki na rzece,Intruz,2020-11-30,200841,33,6PPDxJmAjoDKDxJvX3qYlh,1
270,Kompas,Czarno na białym,Gibbs,2021-09-30,247578,52,0Uz1YXmTAsOAdsiFW8D8gU,1
273,Analog,Analog,Sarius,2021-10-14,172000,36,7r2fSbB03YOld4oVQzUpwV,1
274,Odpocznijmy,Podróże z i pod prąd,Happysad,2005,357133,34,4rZpuVaQAOWcVJFUDJsQwO,1
276,Nasza klasa ale to DRILL,Młody Matczak,Mata,2021-10-01,223906,59,2IwpIyyFlNYhwLW5ZeHxNe,1
278,Anja,Flagey EP,Taco Hemingway,2018-07-20,189240,44,1EtYc0dLZL0ifEWLWWwAJE,1
280,Je veux,Zaz,Zaz,2010-05-10,215933,69,734dz1YaFITwawPpM25fSt,1
281,Les passants,Zaz,Zaz,2010-05-10,213420,58,6x53YxdtkR2rGLptZCLgUx,1
282,Klękaj przed panem,Klękaj przed panem,Białas,2021-12-14,177906,38,2PHQo0t0EIN7aDgDKmkCPM,1
283,NajsHajs,NajsHajs,Sarius,2017-10-27,350174,41,2OukC4FcyVlNHsLfWgKvMV,1
285,Beyond the Sun (feat. J Live),Strange Journey Volume Three,Cunninlynguists,2014-04-01,161193,28,2CpP9fn0s3EQN4ErGEF7UX,1
286,Ballada Ekologiczna,Którędy Wychodzi Się Na Ludzi,Feno,2020-01-10,232269,48,1U1zY3nvxq5JlIANQolMx9,1
290,Nieśmiertelni,Nieśmiertelni,Sarius,2021-09-17,171356,49,7uQEiKqLg8P3i9cPC9c0pQ,1
291,Call Me Little Sunshine,IMPERA,Ghost,2022-03-11,284266,66,4xAmbn7xiy6wGOs4oaxv70,1
292,Hunter’s Moon,IMPERA,Ghost,2022-03-11,196106,60,2jfQ2g1q0w8tbjN46rLpr2,1
293,Puch,Puch,Paluch,2022-03-10,212664,41,0sQtRZ9hXH2TFbVtwkhc72,1
294,Gotham,Mantra,Kacper HTA,2020-10-16,279200,52,4aAifBZiL5ieml3ZN1gIK5,1
297,Domek w górach,Zeus. Jest super.,Zeus,2015-10-09,244360,39,7b7nYBLUJXyD9B6jU1XMtO,1
298,Będziemy dziećmi,Zeus. Jest super.,Zeus,2015-10-09,247280,47,4VpZdc76RyUGjohn4SUIjd,1
299,Do It Like A Dude,Who You Are (Platinum Edition),Jessie J,2011-01-01,195240,59,4wAJ8aQ9Ufj9ylfWESkrDL,1
300,DJ Is Your Second Name,DJ Is Your Second Name,C-BooL,2017-04-24,212976,41,4MuyeQQn5vdAj5SGyfuX9G,1
301,Interpol,WIDMO,PRO8L3M,2019-03-01,197040,54,2VVEyPFbGkDePlMDHxjqhq,1
305,Przerywamy Program feat. O.S.T.R. & Hades,Blisko Leży Obraz Końca,Sarius,2013-11-19,231828,28,4nnVBrFeB6FSlAT7eYnfzD,1
308,Nie Wiem Jak…,ANTIHYPE 2,Sarius,2021-06-25,280946,33,5G2kPOVJWA7lggyxoL1xcm,1
309,Niedopowiedzenia,Niedopowiedzenia,Czarny HIFI,2012-11-12,273667,1,2nrgOEtV9AZn6oDzbV3uMq,1
310,Sorry Dolores,BOA,Reto,2018-06-29,198613,52,0yd4OCmrcqvsAMUJGCMEFQ,1
