,name,album,artist,release_date,duration,popularity,id,kmeans-2clusters
159,Europa,Europa,Taco Hemingway,2020-09-04,198186,59,1MvKqm1tHKFUF88IKx7MKs,0
170,Jazz,Stowarzyszenie umarłych raperów,Przyłu & VBS,2019-04-12,312115,46,2RtWmKQPU9MfSCnKr5cc2R,0
171,Prędkość,W drodze po szczęście,O.S.T.R.,2018-02-26,214701,36,5jTMBN2FMQ8WrHPWVeHxJg,0
172,Behind Blue Eyes,Results May Vary,Limp Bizkit,2003-01-01,269973,73,1MTQHCpraD4S8g5PAFKzoj,0
177,Solitude,Master of Reality (2009 Remastered Version),Black Sabbath,1971-07-21,301640,53,0y1eaipbcP50xp6WLgJtuv,0
178,You Never Can Tell,Pulp Fiction (Music From The Motion Picture),Various Artists,1994-09-27,161453,46,7p6ZGUXjUe0ctAu5RNnghu,0
181,Powiedział mi ktoś,Wszystko co złe,Sarius,2018-08-31,182653,45,0Xe2cPeOZawmqdJRNywx5f,0
184,Nadal jestem tu,Nadal jestem tu,KęKę,2021-02-17,196106,26,4hJip22FGywDqWCIV24sMS,0
185,Nie raj,Wiedza o społeczeństwie,Lao Che,2018-02-16,306093,45,1LPzBeE0fNQkklHQayI3dw,0
188,List w Butelce,Złota Owca,Paluch,2017-11-24,219057,44,6RWlszoXD9n1DzSFkEErTm,0
189,You Never Can Tell,St. Louis To Liverpool,Chuck Berry,1964-11-01,161906,70,6FT83pFXKhDlXDsNJFAHWz,0
194,So wie du bist,Mama,MoTrip,2015-06-19,268515,65,12SH8NE1e17yItgsb2gitp,0
196,I Still Can't Sleep / The Cannot Touch Her (Betsy's Theme),Taxi Driver,Bernard Herrmann,1976,274240,50,45dFVMC4gijvG7lw3yNnD8,0
199,Tanz für mich,Wir bauten uns Amerika,Provinz,2020-07-17,209986,59,6tW9IfjsF6D1YdJkIE7AQl,0
200,Nostalgia,Nostalgia,Kacper HTA,2021-04-06,232329,36,6slxPaEM1yNZsZ7clD6tIW,0
201,Selbstlos,Mama,MoTrip,2015-06-19,237868,36,5sUXgmCMa0OboFW0xmxFzH,0
206,Suga Suga,2016 - 2018,Népal,2019-08-23,224893,62,1kY2dTf9Tpa8QRHlAJeRYd,0
208,Zombie,Fight Club,PRO8L3M,2021-03-30,211146,42,3kTbV66UqiZZ9xcTQuadjU,0
214,Grauer Beton,#DIY,Trettmann,2017-09-29,237455,53,2gaHAv8a7eDlsZra2g2J1l,0
215,Swimmingpoolaugen,Swimmingpoolaugen,Maeckes,2021-04-01,255346,0,7dUS9BQuTLt67grfmxxKDN,0
222,Żar,Żar,PRO8L3M,2021-01-13,198008,41,63WncsLP44sjnDRw1s8oQk,0
225,Gelernt,Das nullte Kapitel,Käptn Peng,2017-05-19,201030,53,1rEVYOEfQRHTCTU0UaeKwt,0
232,Sensitive Kind,5,J.J. Cale,1979-08,307906,51,0nfq0wKQfIwATbUDJZD0ln,0
233,O Mary Don't You Weep,We Shall Overcome: The Seeger Sessions (American Land Edition),Bruce Springsteen,2006,364973,40,5JN70TFrbjjHVJkKfSXlAn,0
242,Nie Zrozumiesz,ANTIHYPE 2,Sarius,2021-06-25,159813,35,5wJDZrAiKt9DXcUHVVwn2I,0
243,Frisch,Dachfenster,01099,2021-07-02,158105,29,2nXslLLUtj9I3wyiq1aJi6,0
246,GOMBAO 33,100 dni do matury,Mata,2020-01-17,340106,63,2sTuKKRZI1ciK5tflR00YE,0
247,Pejzaże,ANTIHYPE 2,Sarius,2021-06-25,191240,38,1hx2aNhY0DA7daiCvim1nb,0
