,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,type,uri
0,0.238,0.109,81.264,0.0326,0.0421,2.73e-05,3,0.289,0,282493,-12.244,0.187,1,audio_features,spotify:track:4MpIwDaZdFLafMDcAx4k4q
1,0.573,0.145,84.967,0.433,0.361,0.0,4,0.744,7,275294,-8.068,0.398,0,audio_features,spotify:track:2unYQbgst3vkYdAxH1rbEp
2,0.734,0.22,120.55,0.0374,0.00079,0.00554,4,0.461,1,357933,-9.379,0.423,1,audio_features,spotify:track:6F6DxQ3XjToEHX1e2KKSbg
3,0.551,0.127,118.657,0.0331,0.00606,0.000256,4,0.491,8,259867,-9.652,0.349,0,audio_features,spotify:track:2L6LeWFHYhcxisYJ9X0Adn
4,0.666,0.204,130.915,0.129,0.0528,0.00171,4,0.769,0,253533,-8.218,0.558,1,audio_features,spotify:track:0eZO12gIzIJ1HnV59OvYGT
5,0.656,0.139,153.747,0.0319,0.0431,0.000161,4,0.353,7,245627,-5.712,0.195,0,audio_features,spotify:track:1EJZQ6uhrvl4JtoKn7RKFd
6,0.41,0.111,158.05,0.075,0.235,0.0,4,0.709,10,206582,-13.139,0.341,0,audio_features,spotify:track:3qXIUQwBPM6ZMgDQZxQAYX
7,0.544,0.11,127.284,0.0364,0.293,1.11e-05,3,0.321,2,398267,-7.179,0.283,1,audio_features,spotify:track:7ycz6sgZWp4wvF53BZVTjE
8,0.412,0.0644,132.986,0.0316,0.188,0.0339,4,0.32,4,396467,-12.75,0.282,0,audio_features,spotify:track:7FtRUrOEDUHTvenvp1BqZo
9,0.959,0.161,154.221,0.0908,0.0263,0.000148,4,0.314,4,309640,-4.657,0.492,0,audio_features,spotify:track:1HM7Vp84E4SMzdrZONg6bH
10,0.588,0.117,96.032,0.2,0.524,0.00033,4,0.882,11,229091,-9.368,0.651,1,audio_features,spotify:track:7EVqVTLvN1u5SQZlRGCkow
