,name,album,artist,release_date,duration,popularity,id
108,Hey Jude - Remastered 2009,The Beatles 1967 - 1970 (Remastered),The Beatles,1973-04-02,431333,65,3m7V717IKZqZLW5qUIOxdD
109,Silver Springs - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,1977-02-04,288786,59,4nZi6XNe36Ut4Nij3IQ1yC
110,Dancing with Tears in My Eyes - Single Version / 2009 Remaster,Dancing with Tears in My Eyes (2009 Remaster),Ultravox,1984-06-09,249493,38,6o6ZPVUPJ0GTs2gQIt2jWc
111,Wonderful Life,Wonderful Life,Black,1987-01-01,287933,69,0IWtEFQBwRHaMXZQtGEVcM
112,Heroes - 2017 Remaster,"""Heroes"" (2017 Remaster)",David Bowie,1977,371413,76,7Jh1bpe76CNTCgdgAdBw4Z
113,Running Up That Hill (A Deal With God),Hounds Of Love,Kate Bush,1985,298933,94,75FEaRjZTKLhTrFGsfMUXR
114,Balans,Czerwony Dywan,Paluch,2018-12-07,270130,49,2kJ45danEDdh4BqGPgoCbX
115,Fiji,Café Belga,Taco Hemingway,2018-07-13,242560,0,2CdCs9y04oDuYCF4ewNzI7
116,Białkoholicy,Umowa o Dzieło,Taco Hemingway,2015-06-28,280764,0,3qP7mVYYiXk9BbhH4VM9Mw
117,Wyjeżdżam by wrócić,Kilka numerów o czymś,Małpa,2009,201513,34,0t91UKs3Q7DU095HoyrxqU
118,Bumerang,Egzotyka,Quebonafide,2017-06-07,208407,27,5pxIcrqw518z9noxlSsCia
119,Kryptowaluty,"Soma 0,5 mg",TACONAFIDE,2018-04-13,276173,52,5BUhxai60oAz69BWZv1qW5
120,Odyseusz,Egzotyka,Quebonafide,2017-06-07,284729,28,2QMXWjWartSxCixoB4dmRk
121,Gdybyś Kiedyś,Ostatni Krzyk Osiedla,Paluch,2016-11-25,220143,51,7hcD9lM5hZl3hY4ASgReNv
122,Wiatr,Wosk,Taco Hemingway,2016-07-27,221718,0,7oG89V4J5UjVnihGNyRFTg
123,Podobno,Trzecie Rzeczy,KęKę,2016-09-16,229426,0,2iuRcL3A08dpPrZBpDR2XA
124,Legendary,No Place Is Home,Welshly Arms,2018-05-25,232173,65,2bDENJyfbxj0neGiXUFvIX
125,Ciemność,Pierwszy Dzień Po Końcu Świata,Sarius,2019-08-30,280258,34,6qykKqE67rrgOAf7abz85f
126,Kawa i papierosy,Mam się świetnie,Shellerini,2016-01-01,160173,0,3JYB96HxTbbqlobhRK0wC8
127,Szczerze,Wosk,Taco Hemingway,2016-07-27,201344,0,1eABKElTBuoawVGwH86ahC
128,Spokój,Alma Mater,Shellerini,2019-10-11,240000,22,2n6yqawCbg3A2QCxuN1wCd
129,AJETLAGTOMÓJNOWYDRAG,ROMANTIC PSYCHO,Quebonafide,2020-04-02,271160,32,5NgiIRfE2oPROyy58yuc0v
130,Nauczysz się czekać (prod. Auer),Muzyka współczesna,Pezet,2019-09-27,237320,42,4Gekcg5AZJypYxGxHma8K6
131,LDZ Zmiennicy,Instrukcja Obsługi Świrów,O.S.T.R.,2019-02-22,210178,27,0893kLth0twvuDR3Rrn0FR
132,Swoje Miejsca,10 / 29,Paluch,2016-03-04,306909,34,1ctPmaSX96S7V9t2ueBMTS
133,Walking in Memphis,Marc Cohn,Marc Cohn,1991-02-08,252613,71,5fgkjhICZnqFctrV0AyuQD
134,California Dreamin' - Single Version,If You Can Believe Your Eyes & Ears,The Mamas & The Papas,1966-03,162373,76,4s6LhHAV5SEsOV0lC2tjvJ
135,We'll Meet Again,Silver Memories: Our Vera,Vera Lynn,2016-03-18,183893,64,6WdcvzQADmrL8nucimUV6r
136,Ain't No Sunshine,Just As I Am,Bill Withers,1971-05-01,125093,77,1k1Bqnv2R0uJXQN4u6LKYt
137,Dance Me to the End of Love,Various Positions,Leonard Cohen,1984-12-11,280626,61,3mFzIFFFmEXTQs6BDAK2ZZ
138,Czarny chleb i czarna kawa,Piła tango,Strachy Na Lachy,2005,203546,50,5nklmUDKX1m6fTZlxD1X5w
139,Bo Jestes Ty,Top Love Hits,Various Artists,2017-08-04,190240,46,4iw1izjwJgdHPZdumrHvyN
140,Nie ma życia,Nadciśnienie,Paluch,2020-11-27,189264,27,3SUZOgGWN3Y28fw9NYo6au
141,Retro,Retro,Epis DYM KNF,2019-10-24,290375,27,1KL3IaltqoBITBw91GGtuE
142,Scenariusz dla moich sąsiadów,Z rozmyślań przy śniadaniu,Myslovitz,1997,192240,53,2AmealVVZqRStMZVNyAByN
143,Dlugość dźwięku samotności,Miłość w czasach popkultury,Myslovitz,1999,251053,58,5ytkHKps6RVVDFZwAqVDCB
144,Nocnym pociągiem aż do końca świata,Happiness Is Easy,Myslovitz,2006-05-12,266973,38,24jVhAsRXxmoN91ThJVSeI
145,Na Spokojnie,10 / 29,Paluch,2016-03-04,215467,34,29PtsEAg5BoUKwcpTFWZD2
146,W domach z betonu,W domach z betonu,PRO8L3M,2020-03-02,214306,34,0T0GUG3sWYYgjDUJQwo1aX
147,Dym,Art Brut 2,PRO8L3M,2020-03-07,145893,41,2Pc8BUFJSIfsaifRBLgCVg
148,Peeling,Czerwony Dywan,Paluch,2018-12-07,263399,56,0W2gYaPROLLYBvYxckrfQT
149,"Wieża radości, wieża samotności",Europa i Azja,Sztywny Pal Azji,2001-12-31,296586,51,2nyBbMPk3yWE0cLJmJcbzH
150,Odchodząc,Masakra,Republika,1998,237333,41,1FLEVJaXv8vZwunzQZSHLK
151,Krakowski spleen,Miłość jest cudowna (1975-2015),Maanam,2015-10-16,279346,48,70X7swUO33mrChUj4JSnbW
152,Knockin' On Heaven's Door,Use Your Illusion II,Guns N' Roses,1991-09-18,336000,78,4JiEyzf0Md7KEFFGWDDdCr
153,"Nikt tak pięknie nie mówił, że się boi miłości",Bułgarskie centrum,Pidżama Porno,2016-04-01,374093,48,1kNPvVDqN2KZZrOhyqEiux
154,Nie nie nie,Model 01,T.Love,2001,238080,48,4mT09JxALjAoUpMplfd8nQ
155,Warszawa,Pocisk miłości,T.Love,1991-10-11,252360,46,5lFmuFUZM6vF36fzjnJZSu
156,Biała flaga - Live,Republika (Reedycja 2011),Republika,2002-03-30,320373,34,2HfsOApfOXphR5FJnv88IX
157,Half Dead,Dla fanów eklektyki,Quebonafide,2017-06-14,278742,40,5TuXRIWZicQ2baTHfXID0U
158,Na Drodze,Trzecie Rzeczy,KęKę,2016-09-16,248533,0,4ksGFoh48GVG9STEHJ3b6v
159,Europa,Europa,Taco Hemingway,2020-09-04,198186,59,1MvKqm1tHKFUF88IKx7MKs
160,Zalatani,Zalatani,Sarius,2019-08-28,185000,43,3PVh0G09x1Dfn1dmNi3Of0
161,Dreams - 2004 Remaster,Rumours (Super Deluxe),Fleetwood Mac,1977-02-04,257800,83,0ofHAoxe9vBkTCp2UQIavz
162,This Is The Life,This Is The Life (eDeluxe),Amy Macdonald,2007-01-01,184413,74,2T3jgoAMbBXiMMD8pSc6QL
163,Apocalypse,Cigarettes After Sex,Cigarettes After Sex,2017-06-09,290146,81,3AVrVz5rK8Hrqo9YGiVGN5
164,No Woman No Cry,Natty Dread,Bob Marley & The Wailers,1974,226240,59,3PQLYVskjUeRmRIfECsL0X
165,Ordinary Man (feat. Elton John),Ordinary Man (feat. Elton John),Ozzy Osbourne,2020-01-10,301730,55,6eEYGGFfFbtKHCgJM4uh9v
166,Under the Graveyard,Under the Graveyard,Ozzy Osbourne,2019-11-08,297682,55,0C4bx13JIMSWOAxd8TaoVq
167,Iron Man - 2012 - Remaster,Iron Man (2012 - Remaster),Black Sabbath,1970-09-18,353613,18,7l3WVKiAbCTnHfUMu1w85n
